Car,Model,Volume,Weight
Toyota,Aygo,1000,790
Mitsubishi,Space Star,1200,1160
Skoda,Citigo,1000,929
Fiat,500,900,865
Mini,Cooper,1500,1140
VW,Up!,1000,929
Skoda,Fabia,1400,1109
Mercedes,A-Class,1500,1365
Ford,Fiesta,1500,1112
Audi,A1,1600,1150
